epoch,lr,train_total,train_data,train_cls,train_kcl,train_thermo,val_total,val_data,val_cls,val_kcl,val_thermo,val_mae,val_rmse,val_accuracy,val_f1
1,0.001,1.90837552295114,1.7157470655362428,0.37783389174155074,0.032739472901788504,0.00437543788680458,1.029569835215807,0.9268242336343974,0.2009512886404991,0.02248658404375116,0.0002132805361422167,0.1011015,0.97339606,0.9255801547079221,0.9349801910976463
2,0.000999938933078422,1.1538400306590717,1.060360340163601,0.17993155529681784,0.03500797454927144,0.00013106129323241608,0.7911337789148092,0.731004942736278,0.11591293712457021,0.021721877173210183,1.785195192383071e-06,0.08723046,0.8639607,0.9623899706588424,0.9654327040941407
3,0.000999755747381037,0.8741014522575113,0.8177189945861915,0.10652047131944747,0.031190675054506883,3.127958443532661e-05,0.43003491846223674,0.39443295270514983,0.06770209645231565,0.01748486755726238,2.420995082535645e-05,0.08182535,0.63425004,0.9757268604961323,0.9781302571497236
4,0.000999450488106175,0.6858176966707636,0.6435685390164654,0.07752247644166876,0.034857796760017636,2.1310834051051515e-05,0.3090175275380413,0.2765812273758153,0.05914214823084573,0.028618247826428463,3.409381390794645e-05,0.059667744,0.53138065,0.9815950920245399,0.9832808335352556
5,0.0009990232305719944,0.5144772977248704,0.48293393134159873,0.05754751719561589,0.027667972286840235,2.793686318985627e-05,0.22589520576099556,0.2059742020908743,0.036127372986326615,0.018572559075740475,6.229200961938019e-07,0.057725172,0.45911077,0.9869298479594558,0.9883249940433644
6,0.0009984740801978983,0.4632227781711377,0.44177083943011985,0.03686077227258552,0.030202908599477288,1.253002057249834e-05,0.2028738697990775,0.18767334691171225,0.02508786947776874,0.026565392509413262,4.95324974799279e-07,0.054008875,0.4381781,0.9898639637236596,0.9908256880733946
7,0.0009978031724785245,0.35868630223452064,0.3406268363074148,0.029860008054202164,0.03127619590572877,1.8423995442490172e-05,0.22465207901162407,0.21458063934308788,0.017288083063128092,0.014256564069849749,1.738145282382993e-05,0.051846664,0.4674974,0.9951987196585756,0.995658465991317
8,0.000997010672950314,0.336573000164553,0.3220939422247211,0.02345559568939744,0.02750911797825111,3.541426200665951e-06,0.22754841061929862,0.21801500280853361,0.01639537630447497,0.013357101726190498,1.2127598544113087e-07,0.056224767,0.47110263,0.9965324086423046,0.9968817462221157
9,0.0009960967771506664,0.31168946368538225,0.29525092640810097,0.025746848724823256,0.03565104782707092,1.3930036035162886e-07,0.286390184937045,0.27451688633300364,0.019978774470898013,0.018839012501606096,1.1008928334684438e-07,0.065308906,0.5297603,0.9949319818618299,0.9954534577650156
10,0.0009950617105696957,0.2112230169943731,0.2017849510481214,0.013220048137349042,0.02827826175791123,2.1729879828028293e-06,0.31890256848807136,0.31093557509593667,0.012866896817771097,0.015335312889268001,5.1972621791310236e-08,0.0659229,0.5636115,0.9951987196585756,0.9956647398843931
11,0.0009939057285945929,0.1654010019859938,0.15585267423808466,0.01168756036811855,0.03703772544820052,7.745101247877288e-06,0.30097257901603974,0.293185045880576,0.013017035147640854,0.012790040561230853,1.9398882300167287e-08,0.0652971,0.5467125,0.9965324086423046,0.996883241428914
12,0.0009926291164466126,0.16798831182905902,0.15900953613513957,0.012277434390534504,0.028400449592315927,1.373220148119292e-07,0.3710997022300338,0.36464402556496983,0.01069606538755276,0.011076600449935843,4.418926272294066e-09,0.05128969,0.6110588,0.9970658842357962,0.9973576747537832
