epoch,lr,train_total,train_data,train_cls,train_kcl,train_thermo,val_total,val_data,val_cls,val_kcl,val_thermo,val_mae,val_rmse,val_accuracy,val_f1
1,0.001,0.722880796712898,0.6309508091369032,0.18199455400888068,0.009259826684265268,6.72571877135108e-05,0.13643501016000906,0.07830159598961473,0.11606889218091965,0.0009829811150363335,6.688808775834332e-06,0.06491342,0.28226605,0.95492131234996,0.9602446483180429
2,0.000999938933078422,0.5253849203977055,0.46794705296166406,0.11313635007525882,0.008682166151430484,1.4755648396195327e-05,0.15194458129505317,0.09635610370896756,0.11103553076585133,0.0007049009815091267,2.245834602376817e-06,0.064610615,0.31338102,0.9599893304881302,0.9654696132596685
3,0.000999755747381037,0.36368522280487264,0.329400002648782,0.06591073100040429,0.013288498050567225,1.0023113505786401e-05,0.07396193395058313,0.05145307225175202,0.04488141754021247,0.0006814422192595278,8.607937285187717e-08,0.045166895,0.22903313,0.9826620432115231,0.9847525216983345
4,0.000999450488106175,0.30274479079610894,0.2725738475072014,0.057385157718982574,0.014780097613858916,3.5515098474722857e-06,0.042236984024445215,0.021705058116155366,0.040937305955837174,0.0006326114351395517,1.1722065167418805e-07,0.041676495,0.14829817,0.9863963723659642,0.9878888625029685
5,0.0009990232305719944,0.25066457883230525,0.22859560303308452,0.041097584904518224,0.01519959226966985,2.2533399648092568e-06,0.1350615721816818,0.1240560503055652,0.02191117877761523,0.000499010779215799,3.628186422706866e-07,0.06336934,0.3561483,0.9927980794878635,0.9936365778930003
6,0.0009984740801978983,0.17631827115020068,0.16171710792058794,0.027015786278095557,0.010926157465106025,6.548959138334019e-06,0.060016530992773674,0.04250280823325738,0.034949735497745375,0.00038847341832782455,7.923165870800848e-08,0.040871527,0.20831314,0.9845292077887436,0.9864485981308412
7,0.0009978031724785245,0.13060054221074946,0.11844867237938744,0.021103855835980852,0.01599672383711211,2.663551845702621e-06,0.08555482880522808,0.045012763949731985,0.08091918717448911,0.0008246504478544618,8.26939842083855e-08,0.07746917,0.21356793,0.9818618298212857,0.9841491841491842
8,0.000997010672950314,0.15431800069980814,0.14228291612757493,0.020910339345849616,0.01579096052395418,8.235182801053278e-06,0.054468486442541084,0.04903028845631828,0.01073827368672937,0.0006904520579458525,1.528385402775149e-07,0.04584186,0.22359343,0.995998933048813,0.9964614295824487
9,0.0009960967771506664,0.08651082563540306,0.07951639932886201,0.011691065043309554,0.011483851431471289,5.090153403201102e-06,0.03775210070113341,0.033592028582158186,0.008234272385016084,0.00042931252925579126,4.333331339682426e-08,0.040912084,0.18504868,0.9962656708455588,0.9966965549787636
10,0.0009950617105696957,0.1489717838877853,0.1403872805416421,0.013600006151262901,0.01784403023131984,9.751293385171396e-07,0.033247078272203606,0.029954518812398117,0.006508771947119385,0.0003816041120444424,1.3540215096965086e-07,0.045343526,0.17426275,0.9970658842357962,0.9973964497041421
11,0.0009939057285945929,0.1502584941654609,0.14475140793089258,0.008881135632319674,0.010661503348931208,3.7037193372458407e-06,0.0680599612959971,0.06126367801334709,0.013457697595003992,0.0006742472605158885,9.665979208798673e-08,0.05754726,0.24960636,0.9965324086423046,0.9969317913618125
12,0.0009926291164466126,0.08527488269618828,0.07944906752022922,0.008919084381973235,0.013661972587387737,7.547672179186813e-07,0.04229328896229466,0.03645067826534311,0.011618396698031575,0.0003341208942098698,3.963646697894656e-09,0.05083825,0.19286516,0.994665244065084,0.9952785646836639
13,0.0009912321891107005,0.1026589383445952,0.09370088155626109,0.014901994807428143,0.015069835424171693,7.56621083777294e-07,0.030891876190435142,0.02605986159760505,0.009567080884395788,0.00048470259353052827,3.8740556311071354e-08,0.03146276,0.16289085,0.9962656708455588,0.9966871746332229
14,0.0009897152912577737,0.0730616825388024,0.06540880548125337,0.011287367714052327,0.02009171169241856,2.3101335487328943e-07,0.017446967175540826,0.012661734867530564,0.009483936500813191,0.0004317184939282015,9.225758400864537e-07,0.037708893,0.11253197,0.9970658842357962,0.9973890339425587
15,0.0009880787971596797,0.0881528334724411,0.0822116271282519,0.007761812994271911,0.02060182616824155,1.195288570657321e-06,0.009854068331575642,0.008863488122976075,0.001903604102456787,0.00038778051505990635,2.949866882937894e-09,0.0310785,0.09428915,0.9991997866097626,0.9992902767920511
16,0.0009863231105968495,0.08551198175265352,0.08158418503725888,0.004892932474366763,0.014813174907650023,1.3395766270281477e-07,0.018137932561027508,0.014803669912119706,0.006615930651120531,0.0002629709325750203,2.1797609967011412e-10,0.036152273,0.122504,0.9975993598292878,0.9978647686832741
17,0.000984448664758672,0.06335924482771814,0.05438864898755739,0.010157299579489113,0.03891790801502873,1.559917641975225e-06,0.025247220353533825,0.011688560682038466,0.027076813417079394,0.00020249937078915537,3.3213598597687875e-08,0.040405374,0.108803116,0.9903974393171513,0.9915333960489181
18,0.0009824559221366096,0.10611950403698006,0.10196529248861909,0.004967108458734328,0.01670656651156499,8.844451223047536e-09,0.01618918644574781,0.014140533143654465,0.004018019880459178,0.0003964330673625227,9.531244364359888e-10,0.036050107,0.11964842,0.9989330488130168,0.9990539262062441
19,0.0009803453744100864,0.0626312648710951,0.0587703479542295,0.0039137198139801216,0.019040546322413074,1.8055248730454772e-08,0.026799369067884982,0.025712572573684155,0.0021400326482156136,0.00016776986255232865,2.3308918949309652e-08,0.03906161,0.16148901,0.9989330488130168,0.9990534784666352
20,0.0009781175423251728,0.06547760898179382,0.05906976745497897,0.00945850401984215,0.016785846813241984,4.1149083524417106e-08,0.012217519141267985,0.009072697771868359,0.006134203701609901,0.0007771879861441751,5.961197398351094e-09,0.028106282,0.095292985,0.9970658842357962,0.9974025974025974
21,0.0009757729755661004,0.06596009774867745,0.06184592975276339,0.0034444794961868233,0.023918834669569875,4.490235843934029e-07,0.01613591278049474,0.014466387037343036,0.003285984397128535,0.0002653406639486396,6.664108622205367e-11,0.02913873,0.12109921,0.9991997866097626,0.9992896045465308
22,0.0009733122526196342,0.06836192185113574,0.06455853143638939,0.004172276840188343,0.017172501070404095,2.2847071161939913e-08,0.03708313882040481,0.0355679590604268,0.002966677972775263,0.00031840294468565844,5.911907158304315e-10,0.040068425,0.19052817,0.9983995732195252,0.9985795454545454
23,0.000970735980632341,0.053242897949636964,0.04777472900620995,0.00723070939516319,0.018528056143822122,8.454643135110208e-08,0.00910669076256454,0.006304338465755185,0.005558104674370649,0.00023300010216189548,1.4607095811263918e-11,0.029717814,0.07980473,0.9981328354227794,0.998341625207297
24,0.0009680447952607838,0.044471485966843735,0.04052318840960625,0.003760110112616663,0.020682317873524217,1.0331677864047073e-07,0.008637768814029794,0.007122222574738165,0.0029769744074049716,0.00027059053269719394,5.9749269699211035e-12,0.032418355,0.08481268,0.998666311016271,0.9988165680473372
25,0.0009652393605146839,0.05866789552094211,0.05525175414479807,0.002535957981414675,0.02148084454794999,7.737987636289521e-07,0.02493890788561354,0.02255442173530658,0.0047411930216185285,0.0001388960732583655,7.257244646256503e-11,0.041139804,0.15098237,0.9983995732195252,0.9985775248933144
26,0.0009623203685930864,0.04686608354231329,0.0391062157242185,0.010909682032951735,0.02305026027802242,2.7223375175993536e-09,0.013565344299422577,0.011234592240847026,0.004578621200926137,0.0004144146446681892,8.758562773280012e-13,0.02418593,0.1066885,0.9975993598292878,0.9978728432994564
27,0.00095928853971357,0.06443981670546788,0.06029543062726403,0.0037694600269276594,0.022596556235089504,1.5785617448497007e-09,0.019717311897935966,0.013988458004314452,0.011404935511867128,0.0002638083630396674,5.5962332727264085e-08,0.03243025,0.119176075,0.994665244065084,0.9952852428099954
28,0.0009561446219345448,0.07845778096837747,0.07149314662665944,0.007071096376587304,0.03429086640499274,7.929674877710505e-10,0.015237605210859328,0.013642853401446093,0.0031357228940275188,0.0002689063049425992,2.418652033928796e-12,0.033334784,0.11764932,0.9994665244065084,0.9995262908574135
