epoch,lr,train_total,train_data,train_cls,train_kcl,train_thermo,val_total,val_data,val_cls,val_kcl,val_thermo,val_mae,val_rmse,val_accuracy,val_f1
1,1e-05,4.354258458327203,4.009586729354014,0.6752760440763765,0.05235203793340356,0.017984219017798883,0.7531388123830159,0.4208371580888828,0.6598301668961842,0.015906882130851348,0.007958850311115383,0.18614666,0.65594316,0.5857562016537743,0.7240092411586991
2,9.99938933078422e-06,4.214403132452582,3.8829559112497924,0.6513464572655894,0.04129812613564686,0.01644216101942924,0.6891060809294383,0.36997228202720484,0.6337526142597198,0.015601652208715677,0.006973294370497266,0.1634051,0.61506265,0.6607095225393438,0.7608123354644604
3,9.997557473810373e-06,4.139183787751372,3.8208377850887767,0.6258559113871442,0.039157791389492304,0.01502278823758999,0.6396057297786076,0.33535383561005194,0.6042193531990051,0.014960445184260606,0.006461722667639455,0.15138038,0.5856274,0.7634035742864764,0.8170002063131834
4,9.994504881061754e-06,4.078570968913336,3.7748105507751886,0.5975138510230684,0.0358495579447842,0.014184273500675268,0.596623232960701,0.30903297333667673,0.5710682511329651,0.014528714151432117,0.006032671437909206,0.14452644,0.5622171,0.823686316351027,0.8517604844135456
5,9.990232305719946e-06,4.009686483953991,3.7228447014914594,0.5641046231680543,0.034450246945676145,0.013443972303593246,0.5546884268522263,0.28596813334152105,0.5332697808742524,0.014820735435932875,0.0060333207327251635,0.13934425,0.54085404,0.8402240597492665,0.8616947587162318
6,9.984740801978986e-06,3.9438149082834704,3.673579978070011,0.5311429069860139,0.03355843800861035,0.013077540853380287,0.5172503739595413,0.26656831552584964,0.49729130963484447,0.01481936185931166,0.00554467683347563,0.1287958,0.5222753,0.8519605228060816,0.869134638057062
7,9.978031724785247e-06,3.884210846937486,3.6311175730079412,0.497219028699137,0.032578153997985984,0.012261541189802607,0.48350846668084463,0.24959961827844382,0.46354645291964214,0.01586659320940574,0.00548963292191426,0.124564976,0.5054136,0.8623632968791678,0.8772013326987149
8,9.97010672950314e-06,3.8419304843584117,3.6040526132989865,0.46688706835691074,0.03272264131283673,0.011619184563874545,0.45276092837254206,0.23350436557084323,0.4342293600241343,0.01635701016833385,0.0050617930013686415,0.11909305,0.48884812,0.8671645772205921,0.8801732435033687
9,9.960967771506666e-06,3.807363903000407,3.5819699993479426,0.44185910629530023,0.03375455863556288,0.010889057919763736,0.4250254273414612,0.21945191643511255,0.4068882385889689,0.01660044730330507,0.0046934967239697775,0.11005845,0.47393078,0.8706321685782875,0.8819089359629901
10,9.95061710569696e-06,3.741687575069657,3.528929611654395,0.4168786256417741,0.033033157759991875,0.010152616657071957,0.39954927215973535,0.20700633665546775,0.38057454029719034,0.017912831685195366,0.004643790905053417,0.10662783,0.46032193,0.8797012536676447,0.890507404709881
11,9.939057285945931e-06,3.7040521270819826,3.5025112004474783,0.394405373256572,0.03367920184548754,0.009705665963192056,0.37930546551942823,0.19623406534083188,0.3617057005564372,0.01783058202515046,0.004354946198873222,0.10060325,0.44819698,0.8829021072285943,0.8932133300900026
12,9.92629116446613e-06,3.6696926377115457,3.4780854141054145,0.3748641349103329,0.032832726904184276,0.00892060615435025,0.36307692478100456,0.1872438474247853,0.3470870425303777,0.018603289049739638,0.004292249625238279,0.095748626,0.43784317,0.8861029607895439,0.8953687821612349
13,9.912321891107008e-06,3.653074704926379,3.467434604468681,0.3628523319307035,0.033574755391935364,0.00856370697083482,0.34652071396509804,0.17908062558465948,0.3298713068167369,0.02077277979503075,0.004271543134624759,0.095802926,0.42819014,0.892504667911443,0.9032877369810416
14,9.897152912577738e-06,3.607004839355928,3.42793136849374,0.3497038142089426,0.03406553156673908,0.008149963478986038,0.3325019513567289,0.1702874345704913,0.3194965680440267,0.020679453869039813,0.003982821487200757,0.091217004,0.4175499,0.8967724726593759,0.9064539521392313
15,9.880787971596799e-06,3.6004401320306054,3.4270447180776373,0.33849000843772054,0.03375613337287502,0.0077486929235585636,0.31847707529862723,0.16168901984735082,0.308449853459994,0.021576489477107923,0.004054827871732414,0.08742459,0.40688533,0.9007735396105628,0.9106628242074928
16,9.863231105968498e-06,3.545231220713497,3.376508124349435,0.3289870369608385,0.0349202168439209,0.007374732337049107,0.30520470688740414,0.15192200094461442,0.3012662837902705,0.022576328180730344,0.003919275896623731,0.08410088,0.39440688,0.9026407041877834,0.9116864263247035
17,9.844486647586723e-06,3.518512091823738,3.3545039377997825,0.3197721277710295,0.034054650972685674,0.007167333210172662,0.2930575470129649,0.14429891402057063,0.2921184053023656,0.023250325908884407,0.003743933754352232,0.08300615,0.38435182,0.9037076553747666,0.9129491198456716
